"Year","Month","Variable","Treatment","Value","Model"
2010,"May","mra","Control",0.05,"LPJGUESS"
2010,"May","mrh","Control",0.057,"LPJGUESS"
2010,"May","mrunoff","Control",17.541,"LPJGUESS"
2010,"May","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"May","mwcont_upper","Control",0.754,"LPJGUESS"
2010,"Nov","maet","Control",4.331,"LPJGUESS"
2010,"Nov","mevap","Control",0.066,"LPJGUESS"
2010,"Nov","mgpp","Control",0.001,"LPJGUESS"
2010,"Nov","mlai","Control",5.072,"LPJGUESS"
2010,"Nov","mnee","Control",0.029,"LPJGUESS"
2010,"Nov","mnpp","Control",-0.006,"LPJGUESS"
2010,"Nov","mra","Control",0.007,"LPJGUESS"
2010,"Nov","mrh","Control",0.023,"LPJGUESS"
2010,"Nov","mrunoff","Control",13.831,"LPJGUESS"
2010,"Nov","mwcont_lower","Control",0.991,"LPJGUESS"
2010,"Nov","mwcont_upper","Control",0.75,"LPJGUESS"
2010,"Oct","maet","Control",23.692,"LPJGUESS"
2010,"Oct","mevap","Control",0.159,"LPJGUESS"
2010,"Oct","mgpp","Control",0.047,"LPJGUESS"
2010,"Oct","mlai","Control",5.072,"LPJGUESS"
2010,"Oct","mnee","Control",0.022,"LPJGUESS"
2010,"Oct","mnpp","Control",0.025,"LPJGUESS"
2010,"Oct","mra","Control",0.022,"LPJGUESS"
2010,"Oct","mrh","Control",0.047,"LPJGUESS"
2010,"Oct","mrunoff","Control",9.163,"LPJGUESS"
2010,"Oct","mwcont_lower","Control",0.991,"LPJGUESS"
2010,"Oct","mwcont_upper","Control",0.763,"LPJGUESS"
2010,"Sep","maet","Control",46.588,"LPJGUESS"
2010,"Sep","mevap","Control",0.214,"LPJGUESS"
2010,"Sep","mgpp","Control",0.1,"LPJGUESS"
2010,"Sep","mlai","Control",5.072,"LPJGUESS"
2010,"Sep","mnee","Control",0.008,"LPJGUESS"
2010,"Sep","mnpp","Control",0.06,"LPJGUESS"
2010,"Sep","mra","Control",0.04,"LPJGUESS"
2010,"Sep","mrh","Control",0.067,"LPJGUESS"
2010,"Sep","mrunoff","Control",12.692,"LPJGUESS"
2010,"Sep","mwcont_lower","Control",0.985,"LPJGUESS"
2010,"Sep","mwcont_upper","Control",0.721,"LPJGUESS"
2011,"Apr","maet","Control",32.776,"LPJGUESS"
2011,"Apr","mevap","Control",1.255,"LPJGUESS"
2011,"Apr","mgpp","Control",0.062,"LPJGUESS"
2011,"Apr","mlai","Control",4.965,"LPJGUESS"
2011,"Apr","mnee","Control",-0.002,"LPJGUESS"
